table,field,alias,queryset,"show in detail","show in list",show_as_extra_field,is_lincs_field,detail_order,list_order,use_for_search_index,is_unrestricted,"Unique ID","DWG Field Name","HMS Field Name",Description,,,,,,,,,
fieldinformation,hms_field_name,,,TRUE,TRUE,,FALSE,16,16,TRUE,TRUE,14,,"HMS Field Name","The LINCS DWG assigned field name ('field_name') can be overriden in the HMS LINCS DB UI using this field.",,,,,,,,,
fieldinformation,related_to,,,TRUE,FALSE,,FALSE,17,17,TRUE,TRUE,15,,"Related To","Related To (DWG)",,,,,,,,,
fieldinformation,description,,,TRUE,TRUE,,FALSE,18,18,TRUE,TRUE,16,,Description,"Description (DWG)",,,,,,,,,
fieldinformation,importance,,,TRUE,TRUE,,FALSE,19,19,TRUE,TRUE,17,,Importance,"Importance (DWG)",,,,,,,,,
fieldinformation,comments,,,TRUE,TRUE,,FALSE,20,20,TRUE,TRUE,18,,Comments,"Comments (DWG)",,,,,,,,,
fieldinformation,ontologies,,,TRUE,FALSE,,FALSE,21,21,TRUE,TRUE,19,,Ontologies,"Ontologies (DWG)",,,,,,,,,
fieldinformation,ontology_reference,,,TRUE,FALSE,,FALSE,22,22,TRUE,TRUE,20,,"Ontology Reference","Ontology Reference (DWG)",,,,,,,,,
fieldinformation,additional_notes,,,TRUE,FALSE,,FALSE,23,23,TRUE,TRUE,21,,"Additional Notes","Additional Notes (DWG)",,,,,,,,,
dataset,facility_id,,,TRUE,TRUE,,FALSE,1,1,TRUE,TRUE,22,,"HMS Dataset ID","Center specific ID of the assay assigned by the center",,,,,,,,,
dataset,title,,,TRUE,TRUE,,FALSE,2,2,TRUE,TRUE,23,,"Dataset Title","Dataset Title",,,,,,,,,
dataset,associated_publication,,,TRUE,FALSE,,FALSE,3,999,TRUE,TRUE,ds:associated_publication,,"Publication(s) Using Dataset","Publication(s) Using Dataset",,,,,,,,,
dataset,associated_project_summary,,,TRUE,FALSE,,FALSE,4,999,TRUE,TRUE,ds:associated_project_summary,,"Project Summary Page(s)","Project Summary Page(s)",,,,,,,,,
dataset,lead_screener_firstname,,,,,,FALSE,5,3,TRUE,TRUE,24,,"Investigator First Name","Investigator First Name",,,,,,,,,
dataset,lead_screener_lastname,,,,,,FALSE,6,4,TRUE,TRUE,25,,"Investigator Last Name","Investigator Last Name",,,,,,,,,
dataset,lead_screener_email,,,,,,FALSE,7,5,FALSE,TRUE,26,,"Investigator Email","Investigator Email",,,,,,,,,
,lead_screener,,dataset,TRUE,,,FALSE,8,6,FALSE,TRUE,27,,"Screening Lab Investigator","Investigator who ran experiment and provided dataset",,,,,,,,,
dataset,lab_head_firstname,,,,,,FALSE,9,7,TRUE,TRUE,28,,"Principal Investigator First Name","Principal Investigator First Name",,,,,,,,,
dataset,lab_head_lastname,,,,,,FALSE,10,8,TRUE,TRUE,29,,"Principal Investigator Last Name","Principal Investigator Last Name",,,,,,,,,
dataset,lab_head_email,,,,,,FALSE,11,9,FALSE,TRUE,30,,"Principal Investigator Email","Principal Investigator Email",,,,,,,,,
,lab_head,,,TRUE,,,FALSE,12,10,FALSE,TRUE,31,,"Screening Principal Investigator","Principal Investigator of lab that provided the dataset",,,,,,,,,
dataset,summary,,,TRUE,FALSE,,FALSE,13,11,TRUE,TRUE,32,,"Assay Description","Description of this assay",,,,,,,,,
dataset,protocol,,,TRUE,,,FALSE,14,12,TRUE,TRUE,33,,"Assay Protocol","The protocol used when conducting this assay",,,,,,,,,
dataset,protocol_references,,,TRUE,,,FALSE,15,13,TRUE,TRUE,34,,"Assay Protocol Reference","References for the protocol",,,,,,,,,
dataset,dataset_type,,,TRUE,TRUE,,FALSE,16,14,FALSE,TRUE,35,,"HMS Dataset Type","HMS Dataset category",,,,,,,,,
dataset,bioassay,,,FALSE,FALSE,,TRUE,18,16,FALSE,TRUE,36,Bioassay,,"The BAO defined Bioassay type.",,,,,,,,,
dataset,usage_message,,,TRUE,FALSE,,FALSE,17,15,FALSE,TRUE,37,,"Usage Message","Instructions for users when viewing and searching this dataset",,,,,,,,,
library,name,library_name,,TRUE,TRUE,,FALSE,1,1,TRUE,TRUE,38,,"Full Name","The full name of this library",,,,,,,,,
library,short_name,,,TRUE,FALSE,,FALSE,2,2,TRUE,TRUE,39,,"Library Name","The abbreviated name of this library",,,,,,,,,
library,date_first_plated,,,TRUE,,,FALSE,3,3,FALSE,TRUE,40,,"Date First Plated","When the compounds for this library were transferred to screening plates",,,,,,,,,
library,type,,,TRUE,TRUE,,FALSE,4,4,FALSE,TRUE,41,,"Library Type","One of ( ""plated"",""non-plated"" or ""vial"" )",,,,,,,,,
,date_data_received,,,FALSE,,,FALSE,999,999,FALSE,TRUE,42,,"Date Data Received","Date that data were received",,,,,,,,,
,date_publicly_available,,,TRUE,,,FALSE,100,100,FALSE,TRUE,43,,"Date Publicly Available","Date that data were made publicly available",,,,,,,,,
,date_loaded,,,FALSE,,,FALSE,999,999,FALSE,TRUE,44,,"Date Loaded","Date that data were loaded",,,,,,,,,
,date_updated,,,TRUE,,,FALSE,101,101,FALSE,TRUE,45,,"Most Recent Update","Date of the last update to this record",,,,,,,,,
,is_restricted,,,FALSE,FALSE,,FALSE,999,999,FALSE,TRUE,46,,"Is Restricted","Indicates that this data are for authenticated viewers only",,,,,,,,,
librarymapping,plate,,,TRUE,TRUE,,FALSE,2,2,FALSE,TRUE,47,,Plate,"The library plate",,,,,,,,,
librarymapping,well,,,TRUE,TRUE,,FALSE,3,3,FALSE,TRUE,48,,Well,"The library well",,,,,,,,,
librarymapping,is_control,,,TRUE,TRUE,,FALSE,15,15,FALSE,TRUE,49,,"Is Control Well","If True, this well is a control well (positive or negative, depending on experimental usage), and does not contain a test reagent",,,,,,,,,
librarymapping,concentration,,,FALSE,FALSE,,FALSE,4,4,FALSE,TRUE,50,,Concentration,"The concentration of the compound on the library plate",,,,,,,,,
librarymapping,concentration_unit,,,FALSE,FALSE,,FALSE,6,6,FALSE,TRUE,51,,"Concentration Unit","One of (nM,uM,mM)",,,,,,,,,
,well_count,,,TRUE,FALSE,,FALSE,10,10,FALSE,TRUE,52,,"# Wells","Number of wells in this library",,,,,,,,,
,plate_count,,,TRUE,FALSE,,FALSE,11,11,FALSE,TRUE,53,,"# Plates","Number of plates in this library",,,,,,,,,
,sm_count,,,TRUE,TRUE,,FALSE,9,9,,TRUE,54,,"# Small Molecules","Number of distinct small molecules in this library",,,,,,,,,
,display_concentration,,,TRUE,TRUE,,F,5,5,FALSE,TRUE,55,,Concentration,"Concentration (nM,uM,mM)",,,,,,,,,
attachedfile,filename,,,TRUE,TRUE,,FALSE,1,1,TRUE,TRUE,56,,"File Name","Name portion of the file path",,,,,,,,,
attachedfile,description,,,TRUE,TRUE,,FALSE,2,2,TRUE,TRUE,57,,Description,Description,,,,,,,,,
attachedfile,relative_path,,,TRUE,,,FALSE,3,3,FALSE,TRUE,58,,"Relative Path","Path relative to the doc root.",,,,,,,,,
attachedfile,facility_id_for,,,TRUE,,,FALSE,4,4,FALSE,TRUE,59,,"HMS LINCS ID for","The HMS LINCS ID of the entity this attached file is for.",,,,,,,,,
attachedfile,salt_id_for,,,TRUE,,,FALSE,5,5,FALSE,TRUE,60,,"Salt ID for","The Salt ID of the Small Molecule this attached file is for",,,,,,,,,
attachedfile,batch_id_for,,,TRUE,,,FALSE,6,6,FALSE,TRUE,61,,"Batch ID for","The Batch ID of the Entity this attached file is for.",,,,,,,,,
attachedfile,file_type,,,TRUE,TRUE,,FALSE,7,7,TRUE,TRUE,62,,"File Type","Type designation",,,,,,,,,
attachedfile,file_date,,,TRUE,TRUE,,FALSE,8,8,FALSE,TRUE,63,,"File Date","Date entered for this file",,,,,,,,,
datarecord,id,,,TRUE,TRUE,,FALSE,1,1,FALSE,TRUE,64,,"Datarecord ID","The internal identifier assigned to the Datarecord.  Will not be consistent between copies (downloads) of this Dataset.",,,,,,,,,
datarecord,plate,,,TRUE,TRUE,,FALSE,102,102,FALSE,TRUE,65,,"Recorded Plate","The Plate that was recorded for this Datarecord",,,,,,,,,
datarecord,well,,,TRUE,TRUE,,FALSE,103,103,FALSE,TRUE,66,,"Recorded Well","The Well that was recorded for this Datarecord",,,,,,,,,
datarecord,control_type,,,TRUE,TRUE,,FALSE,104,104,FALSE,TRUE,67,,"Control Type","The type of Control Well recorded for this Datarecord",,,,,,,,,
datacolumn,name,,,TRUE,TRUE,,FALSE,1,1,TRUE,TRUE,68,"Datapoint Name",Name,"The name given to the data point",,,,,,,,,
datacolumn,unit,,,TRUE,TRUE,,FALSE,7,7,TRUE,TRUE,69,"Datapoint Unit",Unit,"The unit of the value displayed",,,,,,,,,
datacolumn,description,,,TRUE,TRUE,,FALSE,2,2,TRUE,TRUE,70,,Description,"The description of the value displayed",,,,,,,,,
datacolumn,display_name,,,TRUE,TRUE,,FALSE,3,3,TRUE,TRUE,71,,"Display Name","The name for display",,,,,,,,,
datacolumn,data_type,,,TRUE,TRUE,,FALSE,6,6,TRUE,TRUE,72,,"Data Type","The data type [ text, decimal, numeric, omero_image] of the value displayed",,,,,,,,,
datacolumn,precision,,,TRUE,TRUE,,FALSE,8,8,TRUE,TRUE,73,,Precision,"The precision, if decimal",,,,,,,,,
datacolumn,readout_type,,,TRUE,TRUE,,FALSE,9,9,TRUE,TRUE,74,,"Readout Type","Name of the acquisition method",,,,,,,,,
datacolumn,comments,,,TRUE,TRUE,,FALSE,11,11,TRUE,TRUE,75,,Comments,"Comments for this endpoint",,,,,,,,,
datacolumn,worksheet_column,,,FALSE,FALSE,,FALSE,15,15,TRUE,TRUE,76,,"Worksheet Column","The workshseet column in the original data file",,,,,,,,,
datacolumn,replicate,,,TRUE,TRUE,,FALSE,10,10,FALSE,TRUE,77,,Replicate,"The readout replicate if multiple reads were performed",,,,,,,,,
datacolumn,display_order,,,FALSE,FALSE,,FALSE,17,17,FALSE,TRUE,78,,"Display Order","The order in which this endpoint should be displayed in an ordered list of endpoints",,,,,,,,,
,datapoint_value,,,TRUE,TRUE,,FALSE,17,17,FALSE,TRUE,81,"Datapoint Value",Value,"The measured, derived, or recorded value included in the dataset",,,,,,,,,
,timepoint,,,TRUE,TRUE,,FALSE,18,18,FALSE,TRUE,82,Timepoint,Timepoint,"Time interval for this measurement",,,,,,,,,
,timepoint_unit,,,TRUE,TRUE,,FALSE,19,19,FALSE,TRUE,83,"Timepoint Unit","Timepoint Unit","Time interval unit of measurment",,,,,,,,,
,timepoint_description,,,TRUE,TRUE,,FALSE,20,20,FALSE,TRUE,84,"Timepoint description","Timepoint Description","Description of this timepoint",,,,,,,,,
,datapoint_file,datapointFile,,TRUE,TRUE,,FALSE,21,21,FALSE,TRUE,85,"Datapoint File",,"URI for the datapoint (results datacolumns and associated data columns) resource for this dataset",,,,,,,,,
,saf_version,safVersion,,TRUE,TRUE,,FALSE,22,22,FALSE,TRUE,86,"SAF Version",,"Simple Annotation Format version for this output",,,,,,,,,
,screening_facility,screeningFacility,,TRUE,TRUE,,FALSE,23,23,FALSE,TRUE,87,"Screening Facility",,"The screening facility at which this experiment was performed",,,,,,,,,
reagent,facility_id,,,FALSE,FALSE,,FALSE,1,1,TRUE,TRUE,r:1,,"Center Specific ID",,,,,,,,,,
reagent,name,,,FALSE,FALSE,,FALSE,2,2,TRUE,TRUE,r:2,,Name,,,,,,,,,,
reagent,salt_id,,,TRUE,FALSE,,TRUE,11,11,TRUE,TRUE,r:3,,"Salt ID","Reference to counter-ions and other addends present in the compound's formulation",,,,,,,,,
reagent,lincs_id,,,TRUE,TRUE,,TRUE,3,3,TRUE,TRUE,r:4,,"LINCS ID","The global LINCS ID  (parent) compound (in a standardized representaiton)",,,,,,,,,
reagent,alternative_names,,,TRUE,TRUE,,TRUE,2,2,TRUE,TRUE,r:5,,"Alternative Names",,,,,,,,,,
reagent,alternative_id,,,TRUE,TRUE,,TRUE,4,4,TRUE,TRUE,r:6,,"Alternative ID",,,,,,,,,,
smallmolecule,name,sm_name,,TRUE,TRUE,,TRUE,2,2,FALSE,TRUE,SM:1,SM_Name,Name,"Primary name for the compound as chosen by LINCS",,,,,,,,,
smallmolecule,lincs_id,,,TRUE,TRUE,,TRUE,4,4,FALSE,TRUE,SM:2,SM_LINCS_ID,,"Global LINCS ID for the compound",,,,,,,,,
smallmolecule,alternative_names,sm_alternative_names,,TRUE,TRUE,,TRUE,3,3,FALSE,TRUE,SM:3,SM_Alternative_Name,"Alternative Names","List of synonymous names for the compound",,,,,,,,,
smallmolecule,facility_id,,,FALSE,FALSE,,TRUE,10,999,FALSE,TRUE,SM:4,SM_Center_Canonical_ID,"HMS LINCS ID","HMS LINCS-specific ID for the compound",,,,,,,,,
,facility_id,,SaltTable,TRUE,FALSE,,TRUE,1,999,FALSE,TRUE,SM:5,SM_Center_Compound_ID,"HMS LINCS ID","HMS LINCS-specific ID for the compound",,,,,,,,,
,image,,smallmolecule,FALSE,TRUE,,FALSE,999,5,FALSE,TRUE,SM:6,,"Structure Image","Structure image",,,,,,,,,
,facility_salt,,smallmolecule,TRUE,TRUE,,FALSE,1,1,FALSE,TRUE,SM:7,,"HMS LINCS ID","Combination of the HMS LINCS ID for the (parent) compound and the salt ID",,,,,,,,,
smallmolecule,salt_id,,,FALSE,FALSE,,TRUE,999,999,FALSE,TRUE,SM:9,SM_Salt,"Salt ID","Counter-ions or other addends present in the compound formulation",,,,,,,,,
smallmolecule,pubchem_cid,,,TRUE,TRUE,,TRUE,5,6,TRUE,TRUE,SM:12,SM_PubChem_CID,,"CID that corresponds to the parent compound in NCBI's PubChem database",,,,,,,,,
smallmolecule,chebi_id,,,TRUE,FALSE,,TRUE,6,999,TRUE,TRUE,SM:13,SM_ChEBI_ID,,"ChEBI ID that corresponds to the parent compound in NCBI's PubChem database",,,,,,,,,
smallmolecule,chembl_id,,,TRUE,FALSE,,FALSE,7,999,FALSE,FALSE,SM:14,,"ChEMBL ID","ChEMBL ID that corresponds to the parent compound in EMBL-EBI's ChEMBL database",,,,,,,,,
smallmolecule,_molecular_mass,get_molecular_mass,,TRUE,FALSE,,TRUE,8,999,TRUE,FALSE,SM:10,,"Molecular Mass","Molecular mass in Daltons (unified atomic mass units) of one molecule of the parent compound",,,,,,,,,
smallmolecule,_molecular_formula,get_molecular_formula,,FALSE,FALSE,,TRUE,999,999,TRUE,FALSE,SM:11,SM_Molecular_Formula,,"String representation of the type and number of atoms in the parent compound (no structural details)",,,,,,,,,
smallmolecule,_inchi,get_inchi,,TRUE,FALSE,,TRUE,9,999,FALSE,FALSE,SM:15,SM_InChi_Parent,InChi,"InChi representation of the structure of the parent compound",,,,,,,,,
smallmolecule,_inchi_key,get_inchi_key,,TRUE,FALSE,,TRUE,10,999,FALSE,FALSE,SM:16,SM_InChi_Key_Parent,"InChi Key","InChi key for the structure of the parent compound",,,,,,,,,
smallmolecule,_smiles,get_smiles,,TRUE,FALSE,,TRUE,11,999,FALSE,FALSE,SM:17,SM_SMILES_Parent,SMILES,"SMILES representation of the structure of the parent compound",,,,,,,,,
smallmolecule,_relevant_citations,get_relevant_citations,,TRUE,FALSE,,TRUE,12,999,TRUE,FALSE,SM:18,SM_Relevant_Citations,,"Relevant citation(s) regarding the origin or isolation of the compound",,,,,,,,,
smallmolecule,molfile,,,FALSE,FALSE,,FALSE,999,999,FALSE,FALSE,SM:19,,Molfile,"Molfile used to generate smiles/inchi",,,,,,,,,
,canonical_structure,,_undefined,FALSE,FALSE,,TRUE,999,999,FALSE,FALSE,SM:20,SM_Image_Parent,,"Image of the parent compound produced using structure rendering software",,,,,,,,,
smallmolecule,software,,,FALSE,FALSE,,TRUE,999,999,TRUE,FALSE,SM:21,SM_Software,,"Name, Version, Link for Software used to generate InChi and SMILES",,,,,,,,,
smallmolecule,is_restricted,,,FALSE,FALSE,,TRUE,999,999,FALSE,TRUE,SM:22,,"Is Restricted","Is restricted molecule: only available to staff",,,,,,,,,
,dataset_types,,,TRUE,FALSE,TRUE,FALSE,200,200,TRUE,TRUE,SM:23,,"Dataset types","Types of datasets studying this entity.",,,,,,,,,
reagentbatch,batch_id,,,FALSE,FALSE,,FALSE,1,1,TRUE,TRUE,rb:1,,"Center Batch ID",,,,,,,,,,
reagentbatch,provider_name,,,FALSE,FALSE,,FALSE,2,2,TRUE,TRUE,rb:2,,Provider,,,,,,,,,,
reagentbatch,provider_catalog_id,,,FALSE,FALSE,,FALSE,3,3,TRUE,TRUE,rb:3,,"Provider Catalog ID",,,,,,,,,,
reagentbatch,provider_batch_id,,,FALSE,FALSE,,FALSE,4,4,TRUE,TRUE,rb:4,,"Provider Batch ID",,,,,,,,,,
smallmoleculebatch,batch_id,batch,smallmoleculebatch,FALSE,FALSE,,TRUE,999,999,FALSE,TRUE,SMB:1,SM_Center_Batch_ID,"HMS LINCS Batch ID","Sample ID of the tested compound, referring to  of the tested sample; assigned after local registry of the compound (center specific)",,,,,,,,,
,facility_salt_batch,,smallmoleculebatch,TRUE,TRUE,,FALSE,1,1,FALSE,TRUE,SMB:2,,"HMS LINCS Batch ID","Combination of the HMS LINCS ID, Salt ID, and HMS LINCS Batch ID",,,,,,,,,
smallmoleculebatch,provider_name,,,TRUE,TRUE,,TRUE,2,2,FALSE,TRUE,SMB:3,SM_Provider_Name,Provider,"Vendor or lab that supplied the compound",,,,,,,,,
smallmoleculebatch,provider_catalog_id,,,TRUE,TRUE,,TRUE,3,3,FALSE,TRUE,SMB:4,SM_Provider_Catalog_ID,,"ID or catalog number assigned to the specific compound supplied by the vendor or provider",,,,,,,,,
smallmoleculebatch,provider_batch_id,,,TRUE,TRUE,,TRUE,4,4,FALSE,TRUE,SMB:5,SM_Provider_Batch_ID,"Provider Batch ID","Batch or lot number assigned to the specific sample of compound supplied by the vendor or provider (if available)",,,,,,,,,
,salt_id,get_salt_id,smallmoleculebatch,TRUE,FALSE,,,5,999,,TRUE,SMB:6,SM_Salt,,,,,,,,,,,
smallmoleculebatch,_molecular_formula,get_molecular_formula,,TRUE,FALSE,,,6,999,,FALSE,SMB:7,SM_Molecular_Formula,,"String representation of the type and number of atoms in the compound with addends (no structural details)",,,,,,,,,
smallmoleculebatch,_molecular_weight,get_molecular_weight,,TRUE,FALSE,,TRUE,7,999,FALSE,FALSE,SMB:8,,"Molecular Weight","Molecular weight in grams per mole of the compound with addends",,,,,,,,,
smallmoleculebatch,_purity,get_purity,,TRUE,FALSE,,TRUE,8,999,FALSE,FALSE,SMB:9,SM_Purity,,"Purity of the compound in percent, if known",,,,,,,,,
smallmoleculebatch,_purity_method,get_purity_method,,TRUE,FALSE,,TRUE,9,999,FALSE,FALSE,SMB:10,SM_Purity_Method,"Purification Method","Method for determining the purity of the compound",,,,,,,,,
smallmoleculebatch,_chemical_synthesis_reference,get_chemical_synthesis_reference,,TRUE,FALSE,,TRUE,10,999,FALSE,FALSE,SMB:11,SM_Chemical_Synthesis_Reference,,"Relevant citation(s) for synthesis of the compound",,,,,,,,,
smallmoleculebatch,_inchi,get_inchi,,FALSE,FALSE,,TRUE,999,999,FALSE,FALSE,SMB:12,SM_InChi_Batch,,"InChi representation of the actual sample (batch) structure",,,,,,,,,
smallmoleculebatch,_inchi_key,get_inchi_key,,FALSE,FALSE,,TRUE,999,999,FALSE,FALSE,SMB:13,SM_InChi_Key_Batch,,"InChi key of the actual sample (batch) structure",,,,,,,,,
smallmoleculebatch,_smiles,get_smiles,,FALSE,FALSE,,TRUE,999,999,FALSE,FALSE,SMB:14,SM_SMILES_Batch,,"Canonical SMILES representation of the actual sample (batch) structure",,,,,,,,,
smallmoleculebatch,aqueous_solubility,,,FALSE,FALSE,,TRUE,999,999,TRUE,FALSE,SMB:15,SM_Aqueous_Solubility,,"The actual (measured) aqueous solubility of the compound in mg / mL or g / L",,,,,,,,,
smallmoleculebatch,date_data_received,,librarymapping,FALSE,FALSE,,FALSE,999,999,FALSE,TRUE,SMB:16,,"Date Data Received","Date that data were received",,,,,,,,,
smallmoleculebatch,date_publicly_available,,librarymapping,TRUE,FALSE,,FALSE,100,100,FALSE,TRUE,SMB:17,,"Date Publicly Available","Date that data were made publicly available",,,,,,,,,
smallmoleculebatch,date_loaded,,librarymapping,FALSE,FALSE,,FALSE,999,999,FALSE,TRUE,SMB:18,,"Date Loaded","Date that data were loaded",,,,,,,,,
,logp_hydrophobicity_score,,_undefined,TRUE,,,TRUE,27,27,TRUE,FALSE,SMB:19,SM_LogP,,"The logarithm of the actual (measured) water/octanol partition coefficient (logP) or hydrophobicity score",,,,,,,,,
protein,name,protein_name,,TRUE,TRUE,,TRUE,1,1,FALSE,TRUE,PP:1,PP_Name,Name,"The primary name of the protein as chosen by LINCS",,,,,,,,,
protein,lincs_id,protein_lincs_id,,TRUE,TRUE,,TRUE,2,2,FALSE,FALSE,PP:2,PP_LINCS_ID,"HMS LINCS ID","Unique LINCS internal identifier",,,,,,,,,
protein,facility_id,,,FALSE,FALSE,,TRUE,2,2,FALSE,TRUE,PP:2a,PP_Center_Canonical_ID,"HMS LINCS ID","Unique LINCS internal identifier",,,,,,,,,
protein,uniprot_id,,,TRUE,TRUE,,TRUE,3,3,TRUE,TRUE,PP:3,PP_UniProt_ID,,"The UniProt accession of the specific protein, if available. If the UniProt ID of a related entity is used instead, this should be documented explicitly.",,,,,,,,,
protein,alternative_names,,,TRUE,TRUE,,TRUE,4,4,FALSE,TRUE,PP:4,PP_Alternate_Name,"Alternative Names","List of synonymous protein names",,,,,,,,,
protein,provider,,,TRUE,TRUE,,TRUE,5,5,TRUE,TRUE,PP:5,PP_Provider,,"Vendor or lab that supplied the protein",,,,,,,,,
protein,provider_catalog_id,,,TRUE,FALSE,,TRUE,6,6,TRUE,TRUE,PP:6,PP_Provider_Catalog_ID,,"Batch ID or catalogue number assigned to the protein by the vendor or provider",,,,,,,,,
protein,amino_acid_sequence,,,TRUE,,,TRUE,8,8,TRUE,TRUE,PP:8,PP_Amino_Acid_Sequence,,"If the protein is a peptide, protein fragment, or small protein, the amino acid sequence of the perturbagen should be provided",,,,,,,,,
protein,gene_symbol,,,TRUE,,,TRUE,9,9,TRUE,TRUE,PP:9,PP_Gene_Symbol,,"The NCBI gene name. In cases where the protein is modified (the protein sequence differs from the sequence encoded by the gene listed), it should be described in PP:18.",,,,,,,,,
protein,gene_id,,,TRUE,,,TRUE,10,10,TRUE,TRUE,PP:10,PP_Gene_ID,,"Entrez Gene ID if using NCBI gene name",,,,,,,,,
protein,protein_source,,,TRUE,,,TRUE,11,11,TRUE,TRUE,PP:11,PP_Protein_Source,,"A controlled vocabulary describing the source of the protein (e.g. chemically synthesized, recombinantly expressed in E. coli, etc.)",,,,,,,,,
protein,mutation,,,TRUE,TRUE,,,12,12,TRUE,TRUE,PP:12,,Mutation,"A description of a protein's modification status.",,,,,,,,,
protein,phosphlorylation,,,TRUE,TRUE,,,13,13,TRUE,TRUE,PP:13,,"Phosphlorylation State","A description of a protein's modification status.",,,,,,,,,
protein,protein_domain,,,TRUE,TRUE,,,14,14,TRUE,TRUE,PP:14,,Domain,"A description of a protein's modification status.",,,,,,,,,
protein,protein_form,,,TRUE,TRUE,,TRUE,15,15,TRUE,TRUE,PP:15,PP_Protein_Form,"Protein Description","A description of a protein's modification status (e.g, if it was mutated, post-translationally modified etc.). If a DNA vector was used to express the modified protein in a cell line, a description of the DNA vector needs to be provided (see below).",,,,,,,,,
protein,protein_purity,,,TRUE,,,TRUE,16,16,TRUE,TRUE,PP:16,PP_Protein_Purity,,"A description of a protein's level of purity (e.g., if it was partially purified, purified, unpurified, etc.)",,,,,,,,,
protein,protein_complex,,,TRUE,,,TRUE,17,17,TRUE,TRUE,PP:17,PP_Protein_Complex,,"The description of a macromolecular complex composed of two or more polypeptide subunits, which may or may not be identical. The individual subunits should be described as being part of a protein complex (e.g. heterotrimer of alpha, beta and gamma subunits), the name of the protein complex, individual subunit protein name, protein ID, gene name and gene ID.",,,,,,,,,
protein,isoform,,,TRUE,,,TRUE,18,18,TRUE,TRUE,PP:18,PP_Isoform,,"This describes whether the protein is an isoform and differs from the initial protein due to either alternative splicing, alternative initiation or ribosomal frameshifting during translation. The isoforms have different protein sequences and hence different protein IDs, though they share the same gene ID.",,,,,,,,,
protein,protein_type,,,TRUE,,,TRUE,19,19,TRUE,TRUE,PP:19,PP_Protein_Type,,"A controlled vocabulary, if one exists, specifying whether the protein is a growth factor, peptide, protein, etc.",,,,,,,,,
protein,source_organism,,,TRUE,,,TRUE,20,20,TRUE,TRUE,PP:20,PP_Source_Organism,,"A controlled vocabulary describing the source of the protein (e.g. mouse, rabbit, horse, goat, etc.)",,,,,,,,,
protein,reference,,,TRUE,,,TRUE,21,21,TRUE,TRUE,PP:21,PP_Reference,,"Appropriate literature references can be provided.",,,,,,,,,
,protein_concentration,,_undefined,,,,TRUE,999,999,TRUE,TRUE,EXP_PP:1,PP_Protein_Concentration,,"The final concentration of protein/peptide used in the assay",,,,,,,,,
