cell line	drug	target	log10[IC50 (M)]	log10[GI50 (M)]	log2[HillSlope]	E_max
184A1	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-5.2018	-5.3508	1.3208	0.010081999999999999
184A1	TCS2312 dihydrochloride	CHK1	-6.1148	-6.2991	1.2166	0.20267000000000002
184A1	Tamoxifen	ESR1	NaN	NaN	NaN	NaN
184A1	Temsirolimus	MTOR	-5.6474	-6.3554	-1.0425	0.1213
184A1	Topotecan	TOP1	-6.1231	-7.081	-0.3144	0.31235
184A1	Trichostatin A	HDAC	-4.4657	-4.7341	0.2898	0.019423
184A1	Triciribine	AKT	-6.6062	-7.0537	-0.0853	0.12722999999999998
184A1	VX-680	AURK/FLT3/ABL/JAK2	-5.1141	-5.7005	-0.9359	0.20736
184A1	Valproic acid	HDAC	-2.5703	-3.0147	-0.3631	0.20811999999999997
184A1	Vinorelbine	TUBB	NaN	NaN	NaN	NaN
184A1	Vorinostat	HDAC	-3.4273	-3.8929	-0.3899	0.12953
184A1	XRP44X	ELK3	-3.8761	-6.4727	0.4222	0.62353
184A1	Z-Leu-Leu-Leu-al	Proteasome	NaN	NaN	NaN	NaN
184A1	Z-Leu-Leu-Norvalinal	Proteasome	NaN	NaN	NaN	NaN
184B5	17-AAG	HSP90	-7.4996	-7.6292	1.9996	0.1172
184B5	5-FU	TYMS	NaN	NaN	NaN	NaN
184B5	5-FUdR	TYMS	-2.7726	-3.6487	-1.6353	0.41348999999999997
184B5	AG1478	EGFR	NaN	NaN	NaN	NaN
184B5	BIBW2992	EGFR/HER2	-6.6223	-7.1526	-1.0428	0.060983
184B5	Baicalein	Lipoxygenase	NaN	NaN	NaN	NaN
184B5	Bortezomib	Proteasome	-7.4975	-7.7046	1.0065	0.092397
184B5	Bosutinib	Src	NaN	NaN	NaN	NaN
184B5	CGC-11047	Polyamine analogue	-3.2456	-3.343	1.4351	0.0027831
184B5	CGC-11144	Polyamine analogue	-5.4718	-5.6579999999999995	0.9815	0.014586000000000002
184B5	CPT-11	TOP1	-4.7855	-5.6741	-1.0130	0.33749
184B5	Carboplatin	DNA cross-linker	-4.9237	-5.292999999999999	0.1030	0.006184
184B5	Cisplatin	DNA cross-linker	NaN	NaN	NaN	NaN
184B5	Docetaxel	TUBB	-5.0	-8.3663	1.1157	0.68
184B5	Doxorubicin	TOP2	NaN	NaN	NaN	NaN
184B5	Epirubicin	TOP2	NaN	NaN	NaN	NaN
184B5	Erlotinib	EGFR	-5.4362	-6.3665	-0.2402	0.43948000000000004
184B5	Etoposide	TOP2	-4.4273	-5.0951	-0.8053	0.27474
184B5	Everolimus	MTOR	-5.0563	NaN	-1.7676	0.3554
184B5	Fascaplysin	CDK4	-6.4549	-6.5644	1.7700	0.005838899999999999
184B5	GSK1059615	PI3K	NaN	NaN	NaN	NaN
184B5	GSK1070916	AURK	-5.3761	-6.1627	-0.8131	0.23568000000000003
184B5	GSK1120212	MEK	NaN	NaN	NaN	NaN
184B5	GSK1838705A	IGF1R	-5.902	-6.3796	-0.4806	0.18661
184B5	GSK2119563A	PI3K	-5.8783	-6.5753	0.0552	0.40694
184B5	GSK2126458A	PI3K	-7.6231	-8.245	-0.4259	0.21198000000000003
184B5	GSK461364	PLK1	-5.5882	-6.3658	-1.2152	0.2496
184B5	GSK923295	CENPE	-4.9213	-5.6113	0.3081	0.24861999999999998
184B5	Gefitinib	EGFR	-6.6212	-7.459	-0.1506	0.39049
184B5	Geldanamycin	HSP90	-7.9176	-8.0712	1.6079	0.1082
184B5	Gemcitabine	DNA replication	NaN	NaN	NaN	NaN
184B5	IKK 16	IKK	-5.5837	-5.7947	0.9627	0.0018004000000000002
184B5	Ibandronate sodium salt	FDPS	-3.5251	-3.6415	1.3173	0.017581
184B5	Imatinib	ABL/KIT/PDGFR	-4.5095	-4.6356	1.5223	0.0041843
184B5	Ixabepilone	TUBB	-6.4747	-7.0501	-0.7196	0.055254
184B5	LBH589	HDAC	-6.4825	-7.0115	-0.7084	0.13675
184B5	Lestaurtinib	FLT3/JAK2/TrkA	-6.2065	-6.5206	-0.0333	0.020034
184B5	MG-132	Proteasome	-7.5323	-7.811	0.4147	0.13812
184B5	MLN4924	NAE1	-6.4338	-6.9618	-0.6590	0.1764
184B5	NSC663284	CDC25	-5.5629	-5.652	1.8852	0.015780000000000002
184B5	NU6102	CDK1/2	-5.2023	-5.4148	0.4510	0.03803
184B5	Nutlin 3a	MDM2	-4.9726	-5.2634	0.7647	0.12057000000000001
184B5	Olomoucine II	CDK1	-5.2549	-5.5534	0.1070	0.12747
184B5	Oxaliplatin	DNA cross-linker	-4.9573	-5.564	-0.6087	0.06589199999999999
184B5	Oxamflatin	HDAC	-5.7673	-6.1054	-0.1810	0.037966
184B5	PD173074	FGFR1/3	-4.4776	-4.5299	1.9996	0.54294
184B5	PP242 hydrate	MTOR	NaN	NaN	NaN	NaN
184B5	Paclitaxel	TUBB	-4.4776	-7.8019	0.1440	0.57576
184B5	SB-715992	KSP	-5.7086	-6.0282	0.8751	0.088761
184B5	Sigma AKT1-2 inhibitor	AKT	-5.3864	-5.6327	0.2253	0.03703
184B5	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-5.1228	-5.2864	1.3757	0.0044721000000000006
184B5	TCS2312 dihydrochloride	CHK1	-6.1818	-6.3464	1.1570	0.1388
184B5	Tamoxifen	ESR1	NaN	NaN	NaN	NaN
184B5	Temsirolimus	MTOR	-5.0472	-5.6072	-0.4454	0.12128
184B5	Topotecan	TOP1	-6.3743	-7.1997	-1.0014	0.058754999999999995
184B5	Trichostatin A	HDAC	-4.113	-4.3682	0.4668	0.0034955999999999997
184B5	Triciribine	AKT	-6.5813	-6.9932	0.0822	0.11042
184B5	VX-680	AURK/FLT3/ABL/JAK2	-5.3719	-5.756	-0.4731	0.093154
184B5	Valproic acid	HDAC	-2.5296	-3.0885	-0.8544	0.31543000000000004
184B5	Vinorelbine	TUBB	NaN	NaN	NaN	NaN
184B5	Vorinostat	HDAC	-3.3059	-3.8772	-0.7405	0.10444
184B5	XRP44X	ELK3	-5.5007	-6.575	-0.3561	0.45285
184B5	Z-Leu-Leu-Leu-al	Proteasome	NaN	NaN	NaN	NaN
184B5	Z-Leu-Leu-Norvalinal	Proteasome	NaN	NaN	NaN	NaN
600MPE	17-AAG	HSP90	-5.7998	-7.3145	-0.2628	0.35425999999999996
600MPE	5-FU	TYMS	-3.5423	-4.1654	-0.3257	0.033760000000000005
600MPE	5-FUdR	TYMS	-2.8235	-5.9297	-1.1926	0.48776
600MPE	AG1478	EGFR	-4.0707	-4.552	0.5955	0.26484
600MPE	BIBW2992	EGFR/HER2	-5.3999	-5.6112	1.2606	0.0011665
600MPE	Baicalein	Lipoxygenase	NaN	NaN	NaN	NaN
600MPE	Bortezomib	Proteasome	-5.7172	-6.227	0.5313	0.069146
600MPE	Bosutinib	Src	NaN	NaN	NaN	NaN
600MPE	CGC-11047	Polyamine analogue	-2.7416	-3.5947	0.7019	0.2296
600MPE	CGC-11144	Polyamine analogue	-6.2127	-6.5452	0.9328	0.028401
600MPE	CPT-11	TOP1	NaN	NaN	NaN	NaN
600MPE	Carboplatin	DNA cross-linker	-3.5347	-3.8715	0.9057	0.17907
600MPE	Cisplatin	DNA cross-linker	-4.4093	-4.6087	1.6987	0.17102
600MPE	Docetaxel	TUBB	-5.0	-7.1151	1.2738	0.7415
600MPE	Doxorubicin	TOP2	-6.5568	-6.6508	1.0335	0.19773
600MPE	Epirubicin	TOP2	-6.3394	-6.5021	1.9996	0.3126
600MPE	Erlotinib	EGFR	-4.1759	-4.4247	-1.7075	0.70821
600MPE	Etoposide	TOP2	-4.0548	-5.3558	-0.0058	0.45963000000000004
600MPE	Everolimus	MTOR	-4.1759	-4.6930000000000005	-0.9655	0.64451
600MPE	Fascaplysin	CDK4	-6.401	-6.5333	1.9998	0.0053454999999999996
600MPE	GSK1059615	PI3K	-5.6704	-6.3063	0.3138	0.30788000000000004
600MPE	GSK1070916	AURK	-4.907	-5.0505	2.0000	0.06395
600MPE	GSK1120212	MEK	-4.7773	-8.1982	0.2594	0.62571
600MPE	GSK1838705A	IGF1R	-5.9341	-6.6262	-0.4757	0.059461
600MPE	GSK2119563A	PI3K	-4.4776	-6.3812	-1.4293	0.55291
600MPE	GSK2126458A	PI3K	-6.9475	-8.1703	-0.7160	0.1367
600MPE	GSK461364	PLK1	-4.8362	-4.8631	2.0000	0.035466000000000004
600MPE	GSK923295	CENPE	NaN	NaN	NaN	NaN
600MPE	Gefitinib	EGFR	-4.5816	-5.1229	-0.1561	0.44956
600MPE	Geldanamycin	HSP90	-5.569	-7.4453	1.5869	0.5073
600MPE	Gemcitabine	DNA replication	-3.8416	-7.6369	0.3380	0.5904
600MPE	IKK 16	IKK	-5.2297	-5.3825	1.8864	0
600MPE	Ibandronate sodium salt	FDPS	-3.699	-3.9054	1.9996	0.35566
600MPE	Imatinib	ABL/KIT/PDGFR	-4.4633	-4.6059	1.9998	0.0028155000000000003
600MPE	Ixabepilone	TUBB	NaN	NaN	NaN	NaN
600MPE	LBH589	HDAC	-6.359	-6.711	0.5351	0.051564
600MPE	Lestaurtinib	FLT3/JAK2/TrkA	-5.5598	-5.8072	1.0014	0.011564
600MPE	MG-132	Proteasome	-6.2014	-6.3252	2.0000	0.02454
600MPE	MLN4924	NAE1	-5.9403	-6.5451	0.6772	0.43461000000000005
600MPE	NSC663284	CDC25	-5.4654	-5.577999999999999	1.9986	0.0074632000000000006
600MPE	NU6102	CDK1/2	-4.7309	-4.869	2.0000	0.051014
600MPE	Nutlin 3a	MDM2	NaN	NaN	NaN	NaN
600MPE	Olomoucine II	CDK1	-4.8876	-5.2447	0.6790	0.11145999999999999
600MPE	Oxaliplatin	DNA cross-linker	-4.2834	-4.8172	0.1309	0.13203
600MPE	Oxamflatin	HDAC	-5.0501	-5.5698	0.2203	0.087461
600MPE	PD173074	FGFR1/3	-4.8978	-5.0321	1.6978	0.041533
600MPE	PP242 hydrate	MTOR	NaN	NaN	NaN	NaN
600MPE	Paclitaxel	TUBB	-4.4776	-7.3586	0.0007	0.6348699999999999
600MPE	SB-715992	KSP	-6.7362	-7.6966	0.4861	0.2197
600MPE	Sigma AKT1-2 inhibitor	AKT	-4.8635	-5.2631	0.6535	0.076527
600MPE	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-5.1875	-5.4358	1.4295	0.0055752
600MPE	TCS2312 dihydrochloride	CHK1	-5.91	-6.091	1.5816	0.21431999999999998
600MPE	Tamoxifen	ESR1	-4.2145	-4.2804	1.9430	0.13643
600MPE	Temsirolimus	MTOR	NaN	NaN	NaN	NaN
600MPE	Topotecan	TOP1	NaN	NaN	NaN	NaN
600MPE	Trichostatin A	HDAC	-4.7348	-5.1894	0.4073	0.008710700000000002
600MPE	Triciribine	AKT	-4.4776	-6.1655	-1.3767	0.58505
600MPE	VX-680	AURK/FLT3/ABL/JAK2	NaN	NaN	NaN	NaN
600MPE	Valproic acid	HDAC	-1.8239	-2.5107	-0.0247	0.52147
600MPE	Vinorelbine	TUBB	NaN	NaN	NaN	NaN
600MPE	Vorinostat	HDAC	-3.6011	-4.2072	-0.1019	0.019209
600MPE	XRP44X	ELK3	NaN	NaN	NaN	NaN
600MPE	Z-Leu-Leu-Leu-al	Proteasome	NaN	NaN	NaN	NaN
600MPE	Z-Leu-Leu-Norvalinal	Proteasome	-5.8153	-5.9718	1.2975	0.093419
AU565	17-AAG	HSP90	-6.2516	-7.0894	-0.6367	0.21269000000000002
AU565	5-FU	TYMS	-4.0266	-5.2077	-0.5096	0.22938000000000003
AU565	5-FUdR	TYMS	-4.3049	-5.2191	-0.8308	0.37542
AU565	AG1478	EGFR	-5.169	-5.2744	1.2394	0.091305
AU565	BIBW2992	EGFR/HER2	NaN	NaN	NaN	NaN
AU565	Baicalein	Lipoxygenase	-4.2119	-4.3325	0.6299	0.18769
AU565	Bortezomib	Proteasome	-7.6678	-7.7217	1.9109	0.0035293
AU565	Bosutinib	Src	-5.4352	-5.7471	0.1362	0.025783999999999998
AU565	CGC-11047	Polyamine analogue	-3.4698	-3.6213	1.2845	0.0014194000000000001
AU565	CGC-11144	Polyamine analogue	-6.1874	-6.3518	0.4730	0.010212
AU565	CPT-11	TOP1	-5.475	-5.6594	0.8899	0.14747000000000002
AU565	Carboplatin	DNA cross-linker	-4.638	-4.9765	0.3522	0.0055608
AU565	Cisplatin	DNA cross-linker	-5.6557	-5.7959	0.8520	0.013791999999999999
AU565	Docetaxel	TUBB	-8.1981	-8.3478	1.5291	0.1007
AU565	Doxorubicin	TOP2	-7.2496	-7.4293	0.9061	0.08142200000000001
AU565	Epirubicin	TOP2	-6.7658	-6.9048	1.1632	0.022066
AU565	Erlotinib	EGFR	-4.9647	-5.1425	0.4751	0.12295999999999999
AU565	Etoposide	TOP2	-6.101	-6.233	0.7334	0.043784
AU565	Everolimus	MTOR	-5.6636	NaN	-1.3681	0.20964000000000002
AU565	Fascaplysin	CDK4	-6.8296	-6.9778	0.4484	0
AU565	GSK1059615	PI3K	-6.1131	-6.3731	0.8504	0.093648
AU565	GSK1070916	AURK	-5.2504	-5.5873	-0.8533	0.2719
AU565	GSK1120212	MEK	NaN	NaN	NaN	NaN
AU565	GSK1838705A	IGF1R	-5.49	-5.6148	1.2922	0.0044965000000000005
AU565	GSK2119563A	PI3K	-5.9797	-6.2806	-0.6841	0.10407999999999999
AU565	GSK2126458A	PI3K	-7.7602	-8.1358	-0.4937	0.24719000000000002
AU565	GSK461364	PLK1	-7.8424	-7.9567	1.9996	0.1548
AU565	GSK923295	CENPE	-7.566	-7.7122	1.5548	0.1295
AU565	Gefitinib	EGFR	-5.58	-5.9334	-0.0757	0.1471
AU565	Geldanamycin	HSP90	-6.7324	-7.2345	0.5400	0.37562
AU565	Gemcitabine	DNA replication	-7.6986	-7.8877	1.3231	0.1406
AU565	IKK 16	IKK	-5.4852	-5.5837	0.9207	0.0033121
AU565	Ibandronate sodium salt	FDPS	-3.3364	-3.8002	0.6378	0.4468
AU565	Imatinib	ABL/KIT/PDGFR	-4.6466	-4.7322	1.1935	0
AU565	Ixabepilone	TUBB	-8.3705	-8.4523	1.6131	0.025565
AU565	LBH589	HDAC	-6.9639	-7.0587	1.4641	0.01085
AU565	Lestaurtinib	FLT3/JAK2/TrkA	-5.8491	-6.1757	-0.2657	0.06743099999999999
AU565	MG-132	Proteasome	-6.8879	-7.039	1.1270	0.012801
AU565	MLN4924	NAE1	-6.6571	-6.8026	1.2406	0.2215
AU565	NSC663284	CDC25	-5.6574	-5.8312	0.8914	0.008798100000000001
AU565	NU6102	CDK1/2	-4.6296	-4.6038	1.6866	0.033476
AU565	Nutlin 3a	MDM2	-4.6583	-4.7168	1.9957	0.21729
AU565	Olomoucine II	CDK1	-5.3181	-5.3977	2.0000	0.016432
AU565	Oxaliplatin	DNA cross-linker	-5.2	-5.5642	0.2564	0.006964699999999999
AU565	Oxamflatin	HDAC	-6.053	-6.2067	1.0405	0.007215699999999999
AU565	PD173074	FGFR1/3	-5.0852	-5.1382	1.9989	0.16559000000000001
AU565	PP242 hydrate	MTOR	-8.0828	-8.9348	-0.8730	0.23455
AU565	Paclitaxel	TUBB	-8.0127	-8.1165	1.8003	0.09199
AU565	SB-715992	KSP	-7.6654	-7.7173	1.9996	0.02775
AU565	Sigma AKT1-2 inhibitor	AKT	-5.4003	-5.6973	-0.0854	0.065549
AU565	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-5.3157	-5.4531	0.5499	0.0057658
AU565	TCS2312 dihydrochloride	CHK1	-6.4847	-6.5654	1.9996	0.01087
AU565	Tamoxifen	ESR1	-4.2235	-4.3989	1.4383	0.058165999999999995
AU565	Temsirolimus	MTOR	-6.232	NaN	-1.8355	0.17947000000000002
AU565	Topotecan	TOP1	-7.7184	-7.7936	1.2630	0.07795
AU565	Trichostatin A	HDAC	-5.43	-5.5016	1.5348	0.008314499999999999
AU565	Triciribine	AKT	-7.3323	-7.6135	-0.4089	0.038918
AU565	VX-680	AURK/FLT3/ABL/JAK2	NaN	NaN	NaN	NaN
AU565	Valproic acid	HDAC	-2.7436	-2.8960000000000004	0.9568	0.016134
AU565	Vinorelbine	TUBB	-8.2178	-8.2931	1.9987	0.07595
AU565	Vorinostat	HDAC	-4.0416	-4.1397	1.0718	0.0019287
AU565	XRP44X	ELK3	-6.3928	-6.4753	1.6649	0.06696
AU565	Z-Leu-Leu-Leu-al	Proteasome	-6.6094	-6.7017	1.8626	0.071175
AU565	Z-Leu-Leu-Norvalinal	Proteasome	-6.2668	-6.3699	1.7004	0.018971000000000002
BT20	17-AAG	HSP90	NaN	NaN	NaN	NaN
BT20	5-FU	TYMS	NaN	NaN	NaN	NaN
BT20	5-FUdR	TYMS	-2.4068	-3.5554	-0.9440	0.48535
BT20	AG1478	EGFR	NaN	NaN	NaN	NaN
BT20	BIBW2992	EGFR/HER2	-5.3531	-5.6283	0.5830	0.016946
BT20	Baicalein	Lipoxygenase	-3.9589	-4.2649	1.3297	0.48565
BT20	Bortezomib	Proteasome	-6.5591	-6.7595	1.5033	0.050839999999999996
BT20	Bosutinib	Src	-5.6373	-5.9379	0.7920	0.13704000000000002
BT20	CGC-11047	Polyamine analogue	NaN	NaN	NaN	NaN
BT20	CGC-11144	Polyamine analogue	-6.3692	-6.6631	1.1460	0.013069999999999998
BT20	CPT-11	TOP1	NaN	NaN	NaN	NaN
BT20	Carboplatin	DNA cross-linker	NaN	NaN	NaN	NaN
BT20	Cisplatin	DNA cross-linker	NaN	NaN	NaN	NaN
BT20	Docetaxel	TUBB	NaN	NaN	NaN	NaN
BT20	Doxorubicin	TOP2	-6.3089	-6.527	1.2228	0.43422
BT20	Epirubicin	TOP2	NaN	NaN	NaN	NaN
BT20	Erlotinib	EGFR	-4.2804	-5.1725	-1.2987	0.52655
BT20	Etoposide	TOP2	-5.1292	-5.5056	0.4147	0.14662999999999998
BT20	Everolimus	MTOR	-4.5897	-5.699	-1.5568	0.41972
BT20	Fascaplysin	CDK4	-6.4041	-6.5249	1.8444	0.0068417
BT20	GSK1059615	PI3K	NaN	NaN	NaN	NaN
BT20	GSK1070916	AURK	NaN	NaN	NaN	NaN
BT20	GSK1120212	MEK	NaN	NaN	NaN	NaN
BT20	GSK1838705A	IGF1R	-5.2943	-5.4635	1.9989	0.27360999999999996
BT20	GSK2119563A	PI3K	NaN	NaN	NaN	NaN
BT20	GSK2126458A	PI3K	-7.102	-7.8044	-0.4049	0.12183
BT20	GSK461364	PLK1	NaN	NaN	NaN	NaN
BT20	GSK923295	CENPE	NaN	NaN	NaN	NaN
BT20	Gefitinib	EGFR	NaN	NaN	NaN	NaN
BT20	Geldanamycin	HSP90	NaN	NaN	NaN	NaN
BT20	Gemcitabine	DNA replication	NaN	NaN	NaN	NaN
BT20	IKK 16	IKK	-5.3147	-5.4623	1.7943	0.0047729
BT20	Ibandronate sodium salt	FDPS	-4.1419999999999995	-4.7408	-0.1178	0.11395999999999999
BT20	Imatinib	ABL/KIT/PDGFR	-4.5611	-4.8484	0.9819	0.0027767
BT20	Ixabepilone	TUBB	-8.0041	-8.4716	0.7049	0.2262
BT20	LBH589	HDAC	-6.2631	-6.4673	1.0136	0.13155999999999998
BT20	Lestaurtinib	FLT3/JAK2/TrkA	-5.2914	-5.5599	0.6041	0.05475599999999999
BT20	MG-132	Proteasome	-6.2225	-6.3956	1.5941	0.052364999999999995
BT20	MLN4924	NAE1	-5.3037	-5.6957	0.7203	0.13514
BT20	NSC663284	CDC25	-5.2249	-5.5083	0.7557	0.0048658
BT20	NU6102	CDK1/2	-4.1805	-4.2761	2.0000	0.48944
BT20	Nutlin 3a	MDM2	-4.2918	-4.4226	1.4563	0.39006
BT20	Olomoucine II	CDK1	-5.0814	-5.4342	0.4098	0.13265
BT20	Oxaliplatin	DNA cross-linker	NaN	NaN	NaN	NaN
BT20	Oxamflatin	HDAC	-5.0762	-5.4347	0.2479	0.07864700000000001
BT20	PD173074	FGFR1/3	-4.8614	-5.1114	2.0000	0.37034
BT20	PP242 hydrate	MTOR	NaN	NaN	NaN	NaN
BT20	Paclitaxel	TUBB	NaN	NaN	NaN	NaN
BT20	SB-715992	KSP	-7.5079	-7.8227	1.0086	0.2162
BT20	Sigma AKT1-2 inhibitor	AKT	-4.7874	-5.147	1.0824	0.049526
BT20	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-4.8163	-4.9181	1.9982	0
BT20	TCS2312 dihydrochloride	CHK1	-5.558	-5.7904	1.0412	0.11724000000000001
BT20	Tamoxifen	ESR1	NaN	NaN	NaN	NaN
BT20	Temsirolimus	MTOR	NaN	NaN	NaN	NaN
BT20	Topotecan	TOP1	NaN	NaN	NaN	NaN
BT20	Trichostatin A	HDAC	-4.6769	-4.8947	0.9441	0.04513
BT20	Triciribine	AKT	-5.2117	-6.002999999999999	-0.4842	0.3001
BT20	VX-680	AURK/FLT3/ABL/JAK2	-4.6124	-5.5324	-1.0003	0.33071999999999996
BT20	Valproic acid	HDAC	-2.0752	-2.4689	1.7190	0.27849
BT20	Vinorelbine	TUBB	NaN	NaN	NaN	NaN
BT20	Vorinostat	HDAC	-3.4338	-3.7862	0.2185	0.043776999999999996
BT20	XRP44X	ELK3	-3.8761	-5.3396	1.0133	0.5451199999999999
BT20	Z-Leu-Leu-Leu-al	Proteasome	-6.9822	-7.2724	1.4686	0.07556
BT20	Z-Leu-Leu-Norvalinal	Proteasome	-6.1655	-6.4118	1.6982	0.0036393000000000003
BT474	17-AAG	HSP90	-7.3357	-7.8068	0.9138	0.2443
BT474	5-FU	TYMS	-2.7833	-3.7369	-0.4156	0.22553
BT474	5-FUdR	TYMS	-2.301	-3.3351	-1.4767	0.54273
BT474	AG1478	EGFR	-4.7868	-6.1906	-0.5241	0.35863
BT474	BIBW2992	EGFR/HER2	-7.6261	-8.2964	-0.4097	0.076437
BT474	Baicalein	Lipoxygenase	-3.7773	-3.9487	2.0000	0.7629
BT474	Bortezomib	Proteasome	-6.6851	-7.4937	-0.2647	0.16613
BT474	Bosutinib	Src	-5.267	-5.851	0.1712	0.23593000000000003
BT474	CGC-11047	Polyamine analogue	-3.2125	-3.9275	-0.5473	0.14578
BT474	CGC-11144	Polyamine analogue	-5.3304	-5.9815	-0.1645	0.011245999999999999
BT474	CPT-11	TOP1	-4.0696	-5.0448	1.9928	0.77762
BT474	Carboplatin	DNA cross-linker	-3.5662	-3.9801	1.0236	0.081689
BT474	Cisplatin	DNA cross-linker	-4.3212	-4.5559	1.2612	0.19111
BT474	Docetaxel	TUBB	-7.6341	-8.2251	1.1130	0.40531
BT474	Doxorubicin	TOP2	-6.346	-6.5288	1.1947	0.38814
BT474	Epirubicin	TOP2	NaN	NaN	NaN	NaN
BT474	Erlotinib	EGFR	-4.4601	-4.9899	0.9061	0.42026
BT474	Etoposide	TOP2	-3.9125	-4.6587	0.2339	0.42604
BT474	Everolimus	MTOR	NaN	NaN	NaN	NaN
BT474	Fascaplysin	CDK4	-6.4491	-6.6871	1.4924	0.0037631
BT474	GSK1059615	PI3K	-6.0257	-6.7962	-0.3662	0.1625
BT474	GSK1070916	AURK	-4.8892	-5.1976	0.6026	0.19649
BT474	GSK1120212	MEK	NaN	NaN	NaN	NaN
BT474	GSK1838705A	IGF1R	NaN	NaN	NaN	NaN
BT474	GSK2119563A	PI3K	-6.3078	-6.8177	0.2497	0.19974
BT474	GSK2126458A	PI3K	-7.5992	-8.3285	-0.4465	0.05636
BT474	GSK461364	PLK1	-4.9304	-5.0842	1.9996	0.01522
BT474	GSK923295	CENPE	-4.8562	-5.617999999999999	0.2425	0.21076999999999999
BT474	Gefitinib	EGFR	-5.3557	-6.1316	0.3219	0.048711000000000004
