cell line	drug	target	log10[max. dose (M)]	R^2 (goodness of fit)	log10[EC50 (M)]	log10[IC50 (M)]	log10[GI50 (M)]	HillSlope	E_inf	E_max	AUC
184A1	MG-132	Proteasome	-4.1759	0.9345	-7.4719	-7.3691	-7.7518	0.9878	0.1043	0.1048	4.3902
184A1	MLN4924	NAE1	-4.1759	0.9401	-6.2569	-5.4225	-6.2842	0.7104	0.3722	0.39241	6.8653
184A1	NSC663284	CDC25	-3.7773	0.9832	-5.6953	-5.6942	-5.7829999999999995	3.9989999999999997	0.007942	0.007942	5.7685
184A1	NU6102	CDK1/2	-4.1759	0.9626	-4.9565	-4.9566	-5.1973	1.7109999999999999	0	0.044123	7.5933
184A1	Nutlin 3a	MDM2	-4.1759	0.92265	-5.0572	-5.0573	-5.4041	0.8567	0	0.1499	7.1644
184A1	Olomoucine II	CDK1	-3.8761	0.9406	-5.4031	-5.274	-5.4786	2.622	0.2714	0.27147	7.4802
184A1	Oxaliplatin	DNA cross-linker	-3.2013	0.96765	-5.1663	-5.1606	-5.8995	0.91605	0.007435	0.026668	5.6724
184A1	Oxamflatin	HDAC	-4.1759	0.9668	-5.5309	-5.5309	-5.8431	1.364	0	0.013986000000000002	6.5726
184A1	PD173074	FGFR1/3	-4.4776	0.8593	-5.037	-4.8249	-5.0956	1.959	0.3079	0.35928000000000004	8.3583
184A1	PP242 hydrate	MTOR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184A1	Paclitaxel	TUBB	-4.4776	0.8586	-7.7586	-4.4776	-7.13	1.56	0.6613	0.6613	7.5136
184A1	SB-715992	KSP	-4.4776	0.91595	-5.5628	-5.5625	-5.8634	1.4669999999999999	0	0.027135000000000003	6.7959
184A1	Sigma AKT1-2 inhibitor	AKT	-4.1759	0.9677	-5.2029	-5.2028	-5.5829	0.7709999999999999	0	0.13906	6.8983
184A1	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-3.7773	0.9722	-5.2038	-5.2018	-5.3508	2.498	0.00777	0.010081999999999999	6.7274
184A1	TCS2312 dihydrochloride	CHK1	-4.4776	0.9449	-6.2116	-6.1148	-6.2991	2.324	0.2026	0.20267000000000002	6.7051
184A1	Tamoxifen	ESR1	-3.7773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.402999999999999
184A1	Temsirolimus	MTOR	-3.8761	0.8752	-5.6471	-5.6474	-6.3554	0.4855	0	0.1213	5.666
184A1	Topotecan	TOP1	-3.9626	0.8916	-6.6386	-6.1231	-7.081	0.8042	0.3075	0.31235	5.8239
184A1	Trichostatin A	HDAC	-2.301	0.96645	-4.4785	-4.4657	-4.7341	1.2225	0.017261000000000002	0.019423	5.6423
184A1	Triciribine	AKT	-4.4776	0.98055	-6.7336	-6.6062	-7.0537	0.9426	0.12055	0.12722999999999998	5.7766
184A1	VX-680	AURK/FLT3/ABL/JAK2	-4.0	0.951	-5.114	-5.1141	-5.7005	0.5227	0	0.20736	6.6019
184A1	Valproic acid	HDAC	-1.8239	0.9537	-2.5703	-2.5703	-3.0147	0.7775	0	0.20811999999999997	7.2682
184A1	Vinorelbine	TUBB	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184A1	Vorinostat	HDAC	-1.7282	0.9624	-3.5347	-3.4273	-3.8929	0.7632	0.08767	0.12953	6.3101
184A1	XRP44X	ELK3	-3.8761	0.9432	-6.8881	-3.8761	-6.4727	1.34	0.6235	0.62353	7.2068
184A1	Z-Leu-Leu-Leu-al	Proteasome	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184A1	Z-Leu-Leu-Norvalinal	Proteasome	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	17-AAG	HSP90	-4.0	0.9840000000000001	-7.529	-7.4996	-7.6292	3.9989999999999997	0.1172	0.1172	4.1652
184B5	5-FU	TYMS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	5-FUdR	TYMS	-2.301	0.8541	-2.7726	-2.7726	-3.6487	0.3219	0	0.41348999999999997	7.0046
184B5	AG1478	EGFR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	BIBW2992	EGFR/HER2	-4.1759	0.9209	-6.6219	-6.6223	-7.1526	0.4854	0	0.060983	5.0546
184B5	Baicalein	Lipoxygenase	-3.7773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.9386
184B5	Bortezomib	Proteasome	-3.7773	0.9844	-7.5418	-7.4975	-7.7046	2.009	0.092395	0.092397	3.6326
184B5	Bosutinib	Src	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	CGC-11047	Polyamine analogue	-2.301	0.898	-3.2456	-3.2456	-3.343	2.7039999999999997	0	0.0027831	7.9739
184B5	CGC-11144	Polyamine analogue	-3.15	0.9953	-5.4775	-5.4718	-5.6579999999999995	1.9745	0.014482	0.014586000000000002	5.2227
184B5	CPT-11	TOP1	-4.0696	0.9129	-4.9989	-4.7855	-5.6741	0.4955	0.10800000000000001	0.33749	7.2892
184B5	Carboplatin	DNA cross-linker	-2.8697	0.97	-4.9237	-4.9237	-5.292999999999999	1.074	0	0.006184	5.6519
184B5	Cisplatin	DNA cross-linker	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	Docetaxel	TUBB	-5.0	0.8431	-8.661	-5.0	-8.3663	2.167	0.68	0.68	7.7232
184B5	Doxorubicin	TOP2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	Epirubicin	TOP2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	Erlotinib	EGFR	-4.1759	0.9338	-6.4349	-5.4362	-6.3665	0.84665	0.42855	0.43948000000000004	6.8308
184B5	Etoposide	TOP2	-3.4776	0.9633	-4.5678	-4.4273	-5.0951	0.57225	0.091	0.27474	6.8156
184B5	Everolimus	MTOR	-4.1759	0.7009	-5.0564	-5.0563	NaN	0.2937	0	0.3554	6.4059
184B5	Fascaplysin	CDK4	-4.4776	0.99385	-6.4566	-6.4549	-6.5644	3.4105	0.0058365000000000005	0.005838899999999999	5.6477
184B5	GSK1059615	PI3K	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	GSK1070916	AURK	-4.4776	0.96125	-5.3762	-5.3761	-6.1627	0.56915	0	0.23568000000000003	7.0319
184B5	GSK1120212	MEK	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	GSK1838705A	IGF1R	-4.1759	0.9795	-6.1249	-5.902	-6.3796	0.7167	0.154	0.18661	6.1329
184B5	GSK2119563A	PI3K	-4.4776	0.8968	-6.5636	-5.8783	-6.5753	1.0390000000000001	0.4029	0.40694	6.7891
184B5	GSK2126458A	PI3K	-4.4776	0.9563	-7.9406	-7.6231	-8.245	0.7444	0.2099	0.21198000000000003	4.747
184B5	GSK461364	PLK1	-4.4776	0.73025	-5.5881	-5.5882	-6.3658	0.4307	0	0.2496	6.7499
184B5	GSK923295	CENPE	-4.4776	0.76025	-4.9213	-4.9213	-5.6113	1.2381	0	0.24861999999999998	7.3003
184B5	Gefitinib	EGFR	-4.4776	0.9725	-7.3466	-6.6212	-7.459	0.9009	0.3889	0.39049	6.2609
184B5	Geldanamycin	HSP90	-4.0	0.9961	-7.952000000000001	-7.9176	-8.0712	3.048	0.1082	0.1082	3.5639
184B5	Gemcitabine	DNA replication	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	IKK 16	IKK	-4.1759	0.9731	-5.5839	-5.5837	-5.7947	1.949	0	0.0018004000000000002	6.7393
184B5	Ibandronate sodium salt	FDPS	-2.8239	0.9723	-3.525	-3.5251	-3.6415	2.492	0	0.017581	7.4721
184B5	Imatinib	ABL/KIT/PDGFR	-3.248	0.9858	-4.511	-4.5095	-4.6356	2.8725	0.0038784999999999996	0.0041843	6.5564
184B5	Ixabepilone	TUBB	-4.4045	0.9619	-6.4745	-6.4747	-7.0501	0.60725	0	0.055254	5.4131
184B5	LBH589	HDAC	-4.4776	0.9694	-6.6326	-6.4825	-7.0115	0.612	0.09532	0.13675	5.8331
184B5	Lestaurtinib	FLT3/JAK2/TrkA	-4.4776	0.9783	-6.2066	-6.2065	-6.5206	0.9772	0	0.020034	5.892
184B5	MG-132	Proteasome	-4.1759	0.9692	-7.6379	-7.5323	-7.811	1.3330000000000002	0.1381	0.13812	4.3089
184B5	MLN4924	NAE1	-4.1759	0.9599	-6.6889	-6.4338	-6.9618	0.6333	0.1553	0.1764	5.5504
184B5	NSC663284	CDC25	-3.7773	0.9787	-5.5663	-5.5629	-5.652	3.694	0.015780000000000002	0.015780000000000002	6.1108
184B5	NU6102	CDK1/2	-4.1759	0.9695	-5.2019	-5.2023	-5.4148	1.367	0	0.03803	7.0339
184B5	Nutlin 3a	MDM2	-4.1759	0.9183	-4.9725	-4.9726	-5.2634	1.699	0	0.12057000000000001	7.1532
184B5	Olomoucine II	CDK1	-3.8761	0.9593	-5.3501	-5.2549	-5.5534	1.077	0.1049	0.12747	6.8015
184B5	Oxaliplatin	DNA cross-linker	-3.2013	0.9426	-4.9573	-4.9573	-5.564	0.6558	0	0.06589199999999999	5.932
184B5	Oxamflatin	HDAC	-4.1759	0.9703	-5.7669	-5.7673	-6.1054	0.8821	0	0.037966	6.0728
184B5	PD173074	FGFR1/3	-4.4776	0.8588	-4.459	-4.4776	-4.5299	3.9989999999999997	0	0.54294	8.8444
184B5	PP242 hydrate	MTOR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	Paclitaxel	TUBB	-4.4776	0.8674	-7.9836	-4.4776	-7.8019	1.105	0.5757	0.57576	6.7593
184B5	SB-715992	KSP	-4.4776	0.9283	-5.7096	-5.7086	-6.0282	1.8341	0.0029170000000000003	0.088761	6.5769
184B5	Sigma AKT1-2 inhibitor	AKT	-4.1759	0.8439	-5.3859	-5.3864	-5.6327	1.169	0	0.03703	6.3035
184B5	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-3.7773	0.9902	-5.1233	-5.1228	-5.2864	2.595	0.002112	0.0044721000000000006	6.607
184B5	TCS2312 dihydrochloride	CHK1	-4.4776	0.9653	-6.2456	-6.1818	-6.3464	2.23	0.1387	0.1388	6.5019
184B5	Tamoxifen	ESR1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	Temsirolimus	MTOR	-3.8761	0.7769	-5.0471	-5.0472	-5.6072	0.7344	0	0.12128	6.281000000000001
184B5	Topotecan	TOP1	-3.9626	0.9768	-6.3746	-6.3743	-7.1997	0.4995	0	0.058754999999999995	4.9385
184B5	Trichostatin A	HDAC	-2.301	0.9838	-4.113	-4.113	-4.3682	1.382	0	0.0034955999999999997	5.8083
184B5	Triciribine	AKT	-4.4776	0.98525	-6.6721	-6.5813	-6.9932	1.0586	0.0962	0.11042	5.6369
184B5	VX-680	AURK/FLT3/ABL/JAK2	-4.0	0.9641	-5.372000000000001	-5.3719	-5.756	0.7204	0	0.093154	6.4426
184B5	Valproic acid	HDAC	-1.8239	0.8933	-2.6722	-2.5296	-3.0885	0.5531	0.08305	0.31543000000000004	7.1777
184B5	Vinorelbine	TUBB	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	Vorinostat	HDAC	-1.7282	0.9745	-3.3062	-3.3059	-3.8772	0.59855	0	0.10444	6.0817
184B5	XRP44X	ELK3	-3.8761	0.9686	-6.7791	-5.5007	-6.575	0.7813	0.4499	0.45285	6.3885
184B5	Z-Leu-Leu-Leu-al	Proteasome	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184B5	Z-Leu-Leu-Norvalinal	Proteasome	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
600MPE	17-AAG	HSP90	-4.0	0.8393	-5.989	-5.7998	-7.3145	0.83345	0.1732	0.35425999999999996	6.1967
600MPE	5-FU	TYMS	-1.7167	0.9717	-3.5427	-3.5423	-4.1654	0.7979	0	0.033760000000000005	5.7002
600MPE	5-FUdR	TYMS	-2.301	0.8708	-5.584	-2.8235	-5.9297	0.4375	0.469	0.48776	6.3142
600MPE	AG1478	EGFR	-3.7773	0.8255	-4.0708	-4.0707	-4.552	1.511	0	0.26484	8.2796
600MPE	BIBW2992	EGFR/HER2	-4.1759	0.8966	-5.3999	-5.3999	-5.6112	2.396	0	0.0011665	6.0754
600MPE	Baicalein	Lipoxygenase	-3.7773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.5324
600MPE	Bortezomib	Proteasome	-3.7773	0.9869	-5.7338	-5.7172	-6.227	1.4452	0.020925	0.069146	5.672999999999999
600MPE	Bosutinib	Src	-4.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.9187
600MPE	CGC-11047	Polyamine analogue	-2.301	0.84035	-2.7416	-2.7416	-3.5947	1.6266	0	0.2296	7.1932
600MPE	CGC-11144	Polyamine analogue	-3.15	0.9957	-6.226	-6.2127	-6.5452	1.909	0.0284	0.028401	4.1999
600MPE	CPT-11	TOP1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
600MPE	Carboplatin	DNA cross-linker	-2.8697	0.97025	-3.5866	-3.5347	-3.8715	1.8735	0.1009	0.17907	7.681
600MPE	Cisplatin	DNA cross-linker	-3.6021	0.98235	-4.4721	-4.4093	-4.6087	3.2460000000000004	0.16885	0.17102	7.6612
600MPE	Docetaxel	TUBB	-5.0	0.7992	-7.682	-5.0	-7.1151	2.418	0.7415	0.7415	8.2414
600MPE	Doxorubicin	TOP2	-6.2596	0.9428	-6.5567	-6.5568	-6.6508	2.0469999999999997	0	0.19773	7.8129
600MPE	Epirubicin	TOP2	-3.7645	0.8862	-6.4465	-6.3394	-6.5021	3.9989999999999997	0.3126	0.3126	6.046
600MPE	Erlotinib	EGFR	-4.1759	0.7785	-2.9179	-4.1759	-4.4247	0.3062	0	0.70821	8.1894
600MPE	Etoposide	TOP2	-3.4776	0.93825	-5.1061	-4.0548	-5.3558	0.996	0.4402	0.45963000000000004	7.2788
600MPE	Everolimus	MTOR	-4.1759	0.7026	-3.6713	-4.1759	-4.6930000000000005	0.5121	0	0.64451	8.2411
600MPE	Fascaplysin	CDK4	-4.4776	0.98425	-6.4026	-6.401	-6.5333	3.9995	0.0053454999999999996	0.0053454999999999996	5.6846
600MPE	GSK1059615	PI3K	-3.8761	0.9156	-6.1581	-5.6704	-6.3063	1.2429999999999999	0.2979	0.30788000000000004	6.3566
600MPE	GSK1070916	AURK	-4.4776	0.9645	-4.9183	-4.907	-5.0505	4.0	0.047501999999999996	0.06395	8.2035
600MPE	GSK1120212	MEK	-4.7773	0.9066	-7.9113	-4.7773	-8.1982	1.197	0.6256	0.62571	6.9738
600MPE	GSK1838705A	IGF1R	-4.1759	0.96595	-5.9359	-5.9341	-6.6262	0.7191	0.00157	0.059461	5.8907
600MPE	GSK2119563A	PI3K	-4.4776	0.8328	-4.9203	-4.4776	-6.3812	0.3713	0.2467	0.55291	7.5865
600MPE	GSK2126458A	PI3K	-4.4776	0.9879	-7.1356	-6.9475	-8.1703	0.6088	0.1159	0.1367	5.1628
600MPE	GSK461364	PLK1	-4.4776	0.8618	-4.8362	-4.8362	-4.8631	4.0	0	0.035466000000000004	7.937
600MPE	GSK923295	CENPE	-4.4776	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.5754
600MPE	Gefitinib	EGFR	-4.4776	0.83775	-4.5816	-4.5816	-5.1229	0.89745	0	0.44956	8.2364
600MPE	Geldanamycin	HSP90	-4.0	0.9540000000000001	-7.4	-5.569	-7.4453	3.0039999999999996	0.5073	0.5073	6.471
600MPE	Gemcitabine	DNA replication	-3.8416	0.9498	-7.8236	-3.8416	-7.6369	1.264	0.5904	0.5904	6.525
600MPE	IKK 16	IKK	-4.1759	0.9757	-5.2299	-5.2297	-5.3825	3.697	0	0	6.7279
600MPE	Ibandronate sodium salt	FDPS	-2.8239	0.9601	-3.8339	-3.699	-3.9054	3.9989999999999997	0.3556	0.35566	7.6357
600MPE	Imatinib	ABL/KIT/PDGFR	-3.248	0.9755	-4.4639999999999995	-4.4633	-4.6059	3.9995	0.002801	0.0028155000000000003	6.8482
600MPE	Ixabepilone	TUBB	-4.4045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.6783
600MPE	LBH589	HDAC	-4.4776	0.973	-6.3906	-6.359	-6.711	1.449	0.049960000000000004	0.051564	5.8321
600MPE	Lestaurtinib	FLT3/JAK2/TrkA	-4.4776	0.9734	-5.5616	-5.5598	-5.8072	2.002	0.004893	0.011564	6.8066
600MPE	MG-132	Proteasome	-4.1759	0.9943	-6.2069	-6.2014	-6.3252	4.0	0.02454	0.02454	5.7847
600MPE	MLN4924	NAE1	-4.1759	0.9575	-6.4919	-5.9403	-6.5451	1.599	0.4345	0.43461000000000005	6.7657
600MPE	NSC663284	CDC25	-3.7773	0.9878	-5.4673	-5.4654	-5.577999999999999	3.9960000000000004	0.007462999999999999	0.0074632000000000006	5.9625
600MPE	NU6102	CDK1/2	-4.1759	0.9686	-4.7414	-4.7309	-4.869	4.0	0.04582	0.051014	7.8758
600MPE	Nutlin 3a	MDM2	-4.1759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.3194
600MPE	Olomoucine II	CDK1	-3.8761	0.9709	-4.9441	-4.8876	-5.2447	1.601	0.09414	0.11145999999999999	7.0822
600MPE	Oxaliplatin	DNA cross-linker	-3.2013	0.9767	-4.3656	-4.2834	-4.8172	1.095	0.08238	0.13203	7.0948
600MPE	Oxamflatin	HDAC	-4.1759	0.9701	-5.05	-5.0501	-5.5698	1.165	0	0.087461	7.0899
600MPE	PD173074	FGFR1/3	-4.4776	0.9467	-4.8978	-4.8978	-5.0321	3.2439999999999998	0	0.041533	7.5061
600MPE	PP242 hydrate	MTOR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
600MPE	Paclitaxel	TUBB	-4.4776	0.87015	-5.8493	-4.4776	-7.3586	1.0005	0.35	0.6348699999999999	7.7967
600MPE	SB-715992	KSP	-4.4776	0.82805	-6.7911	-6.7362	-7.6966	1.4007	0.1147	0.2197	5.5366
600MPE	Sigma AKT1-2 inhibitor	AKT	-4.1759	0.9375	-4.8636	-4.8635	-5.2631	1.5730000000000002	0	0.076527	7.0695
600MPE	Sunitinib Malate	PDGFR/VEGFR/KIT/FLT3	-3.7773	0.94395	-5.1878	-5.1875	-5.4358	2.6935	0.003165	0.0055752	6.2428
600MPE	TCS2312 dihydrochloride	CHK1	-4.4776	0.9624	-5.9916	-5.91	-6.091	2.9930000000000003	0.2143	0.21431999999999998	6.8374
600MPE	Tamoxifen	ESR1	-3.7773	0.83865	-4.2437	-4.2145	-4.2804	3.845	0.10415	0.13643	8.2503
600MPE	Temsirolimus	MTOR	-3.8761	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.1096
600MPE	Topotecan	TOP1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
600MPE	Trichostatin A	HDAC	-2.301	0.97805	-4.7385	-4.7348	-5.1894	1.3262	0.0060546	0.008710700000000002	4.822
600MPE	Triciribine	AKT	-4.4776	0.9308	-5.3005	-4.4776	-6.1655	0.3851	0.385	0.58505	7.5199
600MPE	VX-680	AURK/FLT3/ABL/JAK2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
600MPE	Valproic acid	HDAC	-1.8239	0.9019	-2.1659	-1.8239	-2.5107	0.983	0.3008	0.52147	8.0931
600MPE	Vinorelbine	TUBB	-4.3335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.5718
600MPE	Vorinostat	HDAC	-1.7282	0.96185	-3.6012	-3.6011	-4.2072	0.9318	0	0.019209	5.5309
600MPE	XRP44X	ELK3	-3.8761	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2243
600MPE	Z-Leu-Leu-Leu-al	Proteasome	-4.1759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.3782
600MPE	Z-Leu-Leu-Norvalinal	Proteasome	-4.1759	0.9854	-5.8519	-5.8153	-5.9718	2.458	0.09335	0.093419	6.1972
AU565	17-AAG	HSP90	-4.0	0.8220000000000001	-6.412999999999999	-6.2516	-7.0894	0.6432	0.12305999999999999	0.21269000000000002	5.6376
AU565	5-FU	TYMS	-1.7167	0.9613	-4.4707	-4.0266	-5.2077	0.7024	0.1849	0.22938000000000003	5.7445
AU565	5-FUdR	TYMS	-2.301	0.8667	-5.303	-4.3049	-5.2191	0.5622	0.3626	0.37542	6.016
AU565	AG1478	EGFR	-3.7773	0.9725	-5.2063	-5.169	-5.2744	2.3609999999999998	0.09092	0.091305	7.2424
AU565	BIBW2992	EGFR/HER2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AU565	Baicalein	Lipoxygenase	-3.7773	0.8913	-4.212	-4.2119	-4.3325	1.5475	0	0.18769	7.702999999999999
AU565	Bortezomib	Proteasome	-3.7773	0.9948	-7.6683	-7.6678	-7.7217	3.7605	0.0035293	0.0035293	2.9784
AU565	Bosutinib	Src	-4.0	0.9332	-5.435	-5.4352	-5.7471	1.099	0	0.025783999999999998	6.2163
AU565	CGC-11047	Polyamine analogue	-2.301	0.8319	-3.47	-3.4698	-3.6213	2.436	0	0.0014194000000000001	6.2984
AU565	CGC-11144	Polyamine analogue	-3.15	0.97705	-6.1935	-6.1874	-6.3518	1.3880000000000001	0.009712	0.010212	4.1883
AU565	CPT-11	TOP1	-4.0696	0.96955	-5.5561	-5.475	-5.6594	1.8530000000000002	0.1458	0.14747000000000002	6.9112
AU565	Carboplatin	DNA cross-linker	-2.8697	0.9747	-4.6382	-4.638	-4.9765	1.2765	0	0.0055608	5.944
AU565	Cisplatin	DNA cross-linker	-3.6021	0.9765	-5.6661	-5.6557	-5.7959	1.805	0.013319999999999999	0.013791999999999999	5.6379
AU565	Docetaxel	TUBB	-5.0	0.9874	-8.225	-8.1981	-8.3478	2.886	0.1007	0.1007	4.2729
AU565	Doxorubicin	TOP2	-6.2596	0.9064	-7.2888	-7.2496	-7.4293	1.874	0.068	0.08142200000000001	7.0531
AU565	Epirubicin	TOP2	-3.7645	0.9869	-6.775	-6.7658	-6.9048	2.2395	0.022065	0.022066	4.3991
AU565	Erlotinib	EGFR	-4.1759	0.9595	-5.0055	-4.9647	-5.1425	1.39	0.06135	0.12295999999999999	7.4829
AU565	Etoposide	TOP2	-3.4776	0.9894	-6.1256	-6.101	-6.233	1.6625	0.04373	0.043784	4.9192
AU565	Everolimus	MTOR	-4.1759	0.8377	-5.6639	-5.6636	NaN	0.3874	0	0.20964000000000002	6.1953
AU565	Fascaplysin	CDK4	-4.4776	0.98585	-6.8296	-6.8296	-6.9778	1.3645	0	0	5.1441
